monthly_income	avg_monthly_spend	credit_limit	num_transactions	account_tenure_months	cash_withdraw_ratio	late_payment_count	age	region_risk_score	marketing_score	app_login_count	employment_type	debt_to_income	payment_delay_ratio	repayment_issue
26867.849400385100	18963.331725212500	13797.84024267030	31	114	0.23657598889692000	2	60	0.10679589155766700	59.591420632888200	24	self_employed	0.7058001346747420	0.0625	1
20841.350135295300	10425.045671870300	19907.767202160900	36	64	0.028459909909504900	0	20	0.08629030774433640	63.39260831478950	16	other	0.50020970830557	0.0	1
28540.385983547700	9244.744459146880	23277.39654430620	45	50	0.33015794583039100	0	24	0.4387986120846160	62.237802651177700	31	other	0.32391798991352300	0.0	1
40506.26540806130	13339.455401554200	52088.04193879340	44	12	0.0	3	60	0.29046168350880800	53.79390806319690	20	self_employed	0.3293183231574700	0.06666666666666670	1
20057.103316372600	12374.793740501700	32688.989694175600	34	107	0.4145420436655560	2	39	0.23804681274602700	56.23883988586390	12	salaried	0.6169781122082670	0.05714285714285710	1
20057.235034002000	10894.870681737000	16858.01433364890	38	38	0.46622949725843300	1	24	0.05869042001000450	33.638694262666300	10	salaried	0.5431890618655800	0.02564102564102560	1
41426.87592837130	18276.554660752600	31892.071045051500	29	31	0.6028877618435500	0	55	0.09869411997290280	38.734597897714700	18	self_employed	0.44117627147056700	0.0	1
29940.69562468600	20535.027054183600	15653.402803571000	26	80	0.013850611865063100	0	48	0.19866714204798900	63.431903355122500	20	salaried	0.6858567119346600	0.0	1
18255.29119761740	13901.931952252400	39298.509418691000	26	6	0.04436539622497960	2	67	0.4017540736348180	62.558142300930200	20	salaried	0.7615289069761230	0.07407407407407410	1
27365.10710288910	25974.966765202	22813.4686744216	41	46	0.35390080513791000	3	53	0.15488541966513500	60.85699124666630	30	salaried	0.9492002595692260	0.07142857142857140	1
18299.57149304970	7992.3482854545700	26035.788048270000	27	58	0.4274020082598970	2	67	0.06756114572717550	42.28374857515210	29		0.43675057027920700	0.07142857142857140	1
18282.65542799600	12244.75845675140	42788.67854663000	29	44	0.3713428992037860	1	37	0.6289722266610720	63.65738197915540	20	self_employed	0.6697472642842250	0.03333333333333330	1
24264.87010463660	9676.252392064260	17145.529550336400	41	102	0.4119575510791390	0	21	0.30351689986724900	32.58133321279460	12	self_employed	0.39877618756406600	0.0	1
10246.463515320300	5767.8722018720800	16498.234187303800	38	116	0.4565241042947550	1	35	0.20464480241912200	66.16039714793410	23	self_employed	0.5629134572380100	0.02564102564102560	1
11048.311247597900	12871.794084383000	21932.83780206140	38	111	0.2803375593293850	1	48	0.10081380565507200	46.08693798131170	21	self_employed	1.165046294942270	0.02564102564102560	1
17589.985058568000	12647.484507598900	38693.72022862300	37	15	0.21811751298691100	0	52	0.28458832520113800	75.26255609510950	18	salaried	0.7190162166418920	0.0	0
14689.196224828500	26398.23377565310	15807.327440744500	44	48	0.04477341881118940	0	35	0.384546067295955	27.178368619017700	25	self_employed	1.7971190098906400	0.0	1
24976.70658810030	17745.10989457610	9984.06439752777	28	84	0.2052841892176300	2	54	0.2383537198614000	76.45106068877780	16	salaried	0.710466363208608	0.06896551724137930	1
15318.099311848000	8426.32429359809	22973.448144762500	30	35	0.22826673965036600	0	66	0.31816146496431200	44.578035062548100	30	self_employed	0.550089415276257	0.0	1
	30771.421192480000	32633.977525553000	26	23	0.10754731400136200	1	62	0.02324441303824540	44.307811159823800	24	salaried	2.0	0.037037037037037000	1
	23143.405584785000	40949.366226970400	45	82	0.2442663698264400	1	61	0.21875091232193300	52.92258228478400	18	self_employed	0.5846193398950330	0.021739130434782600	1
20124.423980805800	17360.34682756040	22877.14195804370	37	81	0.09064315493807760	3	36	0.03410288652998800	39.543816307989500	23	other	0.8626506201677240	0.07894736842105260	1
22629.53706842800	12065.219313029400	23295.155221123900	34	59	0.41699985045207500	0	23	0.4104781729018130	48.915064980465400	21	salaried	0.5331624450180390	0.0	0
12457.781484865600	8675.448844481280	40290.269089916500	47	71	0.31387367037687400	0	68	0.6437937123796780	38.935606020937200	26	salaried	0.6963879447573160	0.0	1
17716.415359090500	11299.423105290300	13982.899603339800	43	72	0.1810594466742530	3	23	0.347131814977862	39.484047035312200	22	salaried	0.6377939823753610	0.06818181818181820	1
23025.76386152950	21805.92234026200	23482.664068509900	30	104	0.27832609117391300	1	44	0.1581734963996180	57.30328925450860	21	salaried	0.9470227555271020	0.03225806451612900	1
	31196.582660002100	28757.341250514600	31	69	0.0842365356462775	1	52	0.04325947326603030	36.47651757044730	18	salaried	2.0	0.03125	1
25598.248427812400	26754.543482716500	31483.741617773000	37	50	0.09944608553211050	0	33	0.7367217342067500	38.47708647491780	19	self_employed	1.0451708662084800	0.0	1
